building_id,damage_state,LAquila_EQ_01,LAquila_EQ_02,LAquila_EQ_03,LAquila_EQ_04,LAquila_EQ_05,LAquila_EQ_06,LAquila_EQ_07,LAquila_EQ_08
tile_7,DS1,5.655197858810425,-0.061779655516147614,-0.01546902023255825,-0.10800270922482014,-0.3159022033214569,-0.035720753483474255,-0.006943706364836544,-0.0018310451159777585
tile_7,DS2,2.2224048376083374,-0.03196378517895937,-0.02904851637867978,0.014457434379437917,0.08860475197434381,-0.06870618462562561,-0.021331210981770266,-0.007802872524679039
tile_7,DS3,0.7816552519798279,0.10318457061657682,-0.0017131447530118749,0.13270291090884712,0.18262183712795377,-0.01902120217528136,-0.0174561011303922,-0.01037832488049184
tile_7,DS4,5.378146409988403,0.2795683480799198,0.0572685124752752,0.514348319691635,1.039840254932642,0.16256388180772774,0.04805765657010763,0.020237069435993682
tile_8,DS0,1.5651062205433846,-0.09058156813679474,-0.004421613097208121,-0.15384750465891361,-0.2799254949033536,-0.007958847501007726,-0.00031212092643473355,-1.8101528066694073e-05
tile_8,DS1,2.3559642136096954,-0.15663478430360556,-0.02978172927396372,-0.08449346496490762,-0.06875775591470301,-0.0045263416759553365,-0.0014955104888940696,-0.0005364034482226998
tile_8,DS2,1.630142629146576,-0.5573860962176695,-0.11464032569119798,-0.22427906849270596,-0.08930679789045826,-0.03619486627758306,-0.009240746331613536,-0.0034729787436920123
tile_8,DS3,0.9032265916466712,-0.10626374016283069,-0.11963796766590917,-0.1912697973928914,-0.09353822014236363,-0.04886096027939851,-0.02589158915583356,-0.015327133775234036
tile_8,DS4,7.145560145378113,0.9108663612278178,0.2684820937478207,0.6538894632345773,0.5315282719675452,0.09754094416621228,0.03694010709197748,0.019354629961457093
tile_9,DS0,1.6454408690333366,-0.15494804832253806,-0.014647269547619857,-0.188731924192858,-0.28833095884959714,-0.007744002199666977,-0.0005765308186997942,-0.00014166258247361174
tile_9,DS1,3.702798366546631,-0.49359428323805377,-0.08483766793506131,-0.38912461855215996,-0.28715819166973233,-0.032194489787798375,-0.007657492940779775,-0.002439261848849128
tile_9,DS2,2.712031126022339,-0.7583440127782524,-0.21427135130613806,-0.49650589229315756,-0.3796697969082743,-0.10700251276648487,-0.03360758847517431,-0.014644250061831343
tile_9,DS3,1.7154028862714767,-0.11871974469977431,-0.10938665416989579,-0.3550106263361954,-0.3517187599791214,-0.08200081215221644,-0.03396286334768561,-0.017800650021631448
tile_9,DS4,10.324325799942017,1.525606041890569,0.42314305387198203,1.429373283891536,1.3068772956030443,0.22894290357726277,0.07580404621368331,0.03502578985754212
