building_id,damage_state,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
tile_1,DS1,0.0181306493016881,0.869762946924746,0.6261701669134356,0.5903986300563103,0.3840889501163186,0.1823447699872979,0.1694289235404937,0.1706935202496205,0.1730753616968945,0.1723693064050147
tile_1,DS2,0.0075285198481322,0.8501093598353198,0.4076993750528531,0.2931528881186223,0.1865836888519857,0.1077365558054176,0.0710276148847338,0.0574018847268425,0.0581894429047132,0.0512900286822599
tile_1,DS3,0.0042945917643048,0.7767774943137583,0.4692259082215866,0.3391470748251942,0.1772995362284951,0.0937648981582204,0.0705163615963521,0.0580592136852773,0.0590904622023578,0.0512998229205446
tile_1,DS4,0.0158897827836712,10.080149920496789,11.162426659005911,11.455701057727346,11.991835792540371,12.397118223496712,12.472827793242756,12.4978189130646,12.493323382006851,12.508865760251147
tile_2,DS0,21.407011617371253,0.1793153407844477,0.0781615396222894,0.0621986734803017,0.0208088013121003,0.0040305197472394,0.0028557848502818,0.0026384688055983,0.0027016840667336,0.0025962350193536
tile_2,DS1,0.0402062799760064,1.6662363353901846,0.9812646799133692,0.851161366384181,0.4081418373432039,0.1278255811802423,0.1013992977127867,0.0963298945309661,0.0982781606350977,0.0953194942128002
tile_2,DS2,0.0203772505002551,2.723835733791987,1.4776131780530617,1.1674171675957592,0.6184835033154907,0.2463717730570754,0.1774043626287405,0.1557583692603212,0.1589208023666537,0.1461780024126821
tile_2,DS3,0.0078082912178692,1.875052296464653,1.6109162720723296,1.3723908584401616,0.8373281928232862,0.380129099877996,0.2917895470960667,0.2592710748275533,0.2642611654300045,0.2429996767931463
tile_2,DS4,0.0245965609128645,15.055560919766378,17.352045211354767,18.04683293237121,19.61523876405992,20.741645004640443,20.92655350476773,20.986005580326207,20.97584156709542,21.01291024615782
tile_3,DS0,7.896245306191598,4.19747515218861,4.148700433735149,4.133109840688854,4.071013224928019,3.880968521324758,3.8899685772608663,3.9043543230616247,3.913366912784937,3.911070230931736
tile_3,DS1,0.0029596066351204,2.263247350633681,2.2926448549861225,2.299153838090927,2.348185749315016,2.472682601025717,2.46992698332244,2.465418839514266,2.462378033498178,2.4630728832718547
tile_3,DS2,0.0003875963415936,0.5982022731508713,0.5647490466801615,0.5608594309735524,0.5168466155837551,0.4680170104861167,0.4602937594125778,0.4586439179549996,0.4585259337935855,0.4585148690054222
tile_3,DS3,0.000104789947061,0.2288817963064839,0.2469342443331466,0.2495311616263608,0.2655987583702031,0.2851029587427321,0.2824639099857999,0.2806475713585462,0.2799690437625329,0.2799481961176119
tile_3,DS4,0.0003027008908287,0.612193839527445,0.6469716946140897,0.6573462710466809,0.6983565117610459,0.793229685072859,0.7973476188462981,0.7909363264286609,0.7857610427824354,0.7873949217122275
