building_id,damage_state,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
tile_2,DS2,3.644541382789612,3.5520841698453296,3.4867595810137573,3.3959810342639685,4.130506232380867,3.140845194458961,1.4047003537416458,0.5520767814014107,0.3901487630064366
tile_2,DS3,1.253630518913269,1.3025755957605725,1.3260364983852924,1.600038785720244,2.603003926575184,2.6580566857010126,1.529930366203189,0.8111472221789882,0.6154188842901931
tile_2,DS4,2.825182288885117,2.9237001436722494,2.99499839708551,3.511719358852133,8.28866532444954,11.670141123235226,17.693792399019003,19.83363589225337,20.257064583785905
tile_3,DS0,7.618517518043518,7.618517719092084,7.618518251456431,7.618301242714741,7.351709784508452,7.277358389855852,6.327161820432288,6.039816055536272,6.035498758316061
tile_3,DS1,0.2631439324468374,0.2631437260621918,0.2631431091576814,0.2633595687306762,0.5068446509540081,0.5764566245488822,1.320484884083271,1.5449970923364162,1.5489331015196512
tile_3,DS2,0.0129495569708524,0.0129472127164262,0.0129461975229787,0.0128659616847919,0.0268617283641106,0.0277135851029806,0.141634908341075,0.1508456210140139,0.146266792611641
tile_3,DS3,0.0015481583541259,0.0015497999461331,0.0015504784723816,0.0016146889665789,0.0055801652762692,0.0079086470590254,0.0382725764326323,0.0628373252684468,0.0646267041954047
tile_3,DS4,0.0038406709871878,0.0038413685228544,0.0038417051719624,0.0038583327783713,0.0090035774299403,0.0105625025959673,0.0724454815694741,0.1015037088695862,0.1046741252897618
tile_4,DS0,11.43332576751709,11.433325212478636,11.433325642585762,11.430059054374697,10.072153076171872,9.625203039169312,6.415796619415285,5.2647564764023365,5.228736923217824
tile_4,DS1,1.2840735912322998,1.28407407401005,1.284073882641735,1.287145898793824,2.3974649012088776,2.768451288342476,4.520075976848602,5.055140316486359,5.076610466465354
tile_4,DS2,0.1033624485135078,0.1033306753643081,0.1033155220329622,0.1026924755517484,0.2382112070918083,0.2684104088693857,0.9356402009725572,1.0955645442008972,1.0645691378449555
tile_4,DS3,0.022020717151463,0.0210134363023826,0.020225429279435,0.0191010226675416,0.0564804747700691,0.0712100905366242,0.2916389815509319,0.4292905312031507,0.40025444181083
tile_4,DS4,0.0572180189192295,0.0582572480120878,0.0590603610961655,0.0610016953889385,0.1356906755827367,0.1667253269115463,0.7368483673781157,1.055248323827982,1.1298297824687324
tile_5,DS0,13.434956073760986,13.425066612243713,13.420058624267686,13.28754496192933,10.91570748901368,10.16938211882115,6.507660215750338,5.227527222689259,5.17418149485068
tile_5,DS1,2.936477243900299,2.938757312465839,2.939782780320052,2.9653992521343757,3.8734031021595,4.049451284110546,5.329722966998816,5.743273296859115,5.761351955938153
tile_5,DS2,0.665057297796011,0.6541163990555017,0.6461329401465665,0.6465493976531889,1.0342351347208023,0.9509322326630354,1.3937495239079,1.3986966372467575,1.3307864190865075
tile_5,DS3,0.2437465218827128,0.2496043304491833,0.2526902381221134,0.2867045610677294,0.506962210405618,0.5726057346910238,0.6752199623733759,0.7145394383696839,0.6795129047350201
tile_5,DS4,0.5197630040347576,0.5324547937573261,0.5413346174738422,0.6138010306011381,1.4696910701459274,2.0576275694184005,3.893646356649697,4.715962730813772,4.854166967626952
tile_6,DS0,6.151406526565552,6.147989198684684,6.14670908737196,5.997232620239265,3.2081531457901207,2.262780672073376,0.5836540015936293,0.2548418682216038,0.2233447681665623
tile_6,DS1,3.67042863368988,3.6727759739151216,3.673630848294124,3.7749882489442825,4.550907492637634,4.485862463712692,2.7701936662197117,1.8725465163588524,1.779161062091589
tile_6,DS2,0.8341947495937347,0.8279330883381135,0.8240784567277615,0.8061099657788873,1.6541361808776855,1.7791009582579136,2.101903915405273,1.5524731185287235,1.335108270519413
tile_6,DS3,0.27900131046772,0.2812728799672186,0.2822999910910795,0.3110119935518014,0.7295337580144405,0.9859579876065254,1.40582275390625,1.3862261809408665,1.308706482675916
